station_id,lon,lat
BC02,92.36833333333334,31.07333333333333
BC03,92.30833333333334,31.106666666666666
BC06,92.165,31.231666666666666
BC07,92.11,31.275
C2,91.80833333333334,31.69
CD01,92.45833333333331,31.71333333333333
F3,91.80166666666666,31.716666666666665
MS3482,91.7,31.89
MS3488,91.705,31.843333333333334
MS3494,91.75,31.805
MS3518,91.795,31.661666666666665
MS3523,91.755,31.64
MS3527,91.74,31.615
MS3533,91.79333333333334,31.586666666666662
MS3614,91.76,31.175
MSBJ,91.89,31.366666666666667
P11,91.795,31.816666666666663
